,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,   28705,,   21070,,    7635,,   74530,,   53995,,   20535,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,  163925,,   64105,,   99815,,  393375,,  154370,,  239005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,  266665,,   95805,,  170855,,  614815,,  232425,,  382390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,   29210,,    5775,,   23435,,   76540,,   16200,,   60340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,   73110,,   20225,,   52885,,  133800,,   38310,,   95485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,   72145,,   24330,,   47815,,  191005,,   71770,,  119235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,    1665,,     615,,    1045,,    3140,,    1250,,    1895,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,   17755,,    9925,,    7830,,   37870,,   21930,,   15940,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,   19390,,   11790,,    7605,,   52295,,   31200,,   21090,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,   42315,,   21735,,   20585,,   82565,,   43475,,   39085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,   11075,,    1415,,    9655,,   37600,,    8285,,   29315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,  648285,,  207200,,  441085,, 1417625,,  453100,,  964525,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,    8630,,    1785,,    6845,,   20300,,    4595,,   15705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,   67115,,   26015,,   41105,,  152080,,   56125,,   95955,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,  111550,,    8405,,  103145,,  259845,,   19160,,  240685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,  108895,,   34250,,   74650,,  241170,,   76720,,  164445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,   12875,,    2705,,   10170,,   27310,,    6390,,   20920,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,   93770,,   21045,,   72725,,  218470,,   51570,,  166900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,  245445,,  113000,,  132445,,  498450,,  238540,,  259915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",, 1026975,,  414425,,  612550,, 2696770,, 1000895,, 1695875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,    2225,,     715,,    1510,,    4955,,    1480,,    3475,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,   88130,,   16590,,   71540,,  192190,,   36890,,  155305,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,  936620,,  397120,,  539500,, 2499625,,  962530,, 1537095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,  190235,,   88535,,  101700,,  449870,,  222120,,  227755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,   84580,,   33150,,   51425,,  195830,,   79945,,  115880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,   41255,,   18020,,   23240,,   89205,,   42265,,   46945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,    3135,,     975,,    2165,,    9280,,    3850,,    5430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,   52490,,   33175,,   19310,,  132935,,   87025,,   45905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,    8775,,    3215,,    5555,,   22625,,    9035,,   13590,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,  252275,,  162360,,   89915,,  567415,,  368840,,  198575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,  198775,,  136120,,   62655,,  464000,,  321805,,  142190,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,   10755,,    1765,,    8995,,   29955,,    4870,,   25080,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,   38160,,   21440,,   16720,,   65620,,   36895,,   28725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,    4580,,    3030,,    1550,,    7840,,    5270,,    2575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,  878300,,  779075,,   99225,, 2532555,, 2271735,,  260820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,   42115,,   27365,,   14745,,   93135,,   57280,,   35850,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,  266040,,  211240,,   54800,,  612265,,  490980,,  121285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,  178830,,  160160,,   18675,,  475045,,  418595,,   56450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,     140,,      25,,     115,,     350,,      70,,     275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,  141515,,  138160,,    3360,,  515630,,  499670,,   15960,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,  162855,,  158770,,    4080,,  540800,,  523425,,   17375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,   86805,,   83355,,    3450,,  295335,,  281715,,   13620,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,   82775,,   49710,,   33065,,  269445,,  167680,,  101770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,   50160,,   30065,,   20095,,  159975,,   94680,,   65295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,   32615,,   19650,,   12965,,  109470,,   73000,,   36470,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,  664880,,  133665,,  531220,, 1749545,,  342395,, 1407145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,   58160,,   27950,,   30205,,  129560,,   63315,,   66245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,  589085,,   96720,,  492365,, 1576945,,  256895,, 1320050,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,   17640,,    8990,,    8645,,   43040,,   22185,,   20860,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,  259400,,  129985,,  129415,,  770950,,  392820,,  378135,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,  137250,,   36225,,  101030,,  431415,,  114395,,  317025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,    1685,,    1405,,     280,,    2725,,    2355,,     375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,    1415,,    1270,,     145,,    4425,,    3975,,     445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,   77190,,   52840,,   24345,,  162995,,  116750,,   46240,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,   41855,,   38245,,    3610,,  169400,,  155340,,   14050,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,    1125,,     220,,     900,,    2590,,     745,,    1845,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,    1125,,     225,,     900,,    2585,,     740,,    1845,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157,11038440,, 5342755,, 5695685,,28643015,,13990435,,14652585,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",, 4961460,, 2447010,, 2514445,,12815975,, 6354625,, 6461350,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158, 6076985,, 2895745,, 3181240,,15827040,, 7635805,, 8191235,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",, 4786950,, 2261260,, 2525690,,13117190,, 6299305,, 6817890,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",, 4414485,, 2081525,, 2332960,,11519215,, 5503640,, 6015575,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,  372470,,  179735,,  192730,, 1597975,,  795655,,  802315,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159, 1290035,,  634485,,  655545,, 2709850,, 1336505,, 1373345,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,  167260,,   89350,,   77910,,  349540,,  189995,,  159545,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,  115410,,   39750,,   75655,,  298830,,  109820,,  189020,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,  169340,,   85500,,   83840,,  281415,,  142410,,  138995,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,  115690,,   66215,,   49470,,  232035,,  131050,,  100980,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,   98415,,   46230,,   52185,,  205375,,   94690,,  110685,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,   10775,,    5800,,    4975,,   88860,,   50400,,   38455,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,  613145,,  301635,,  311510,, 1253790,,  618135,,  635655,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157, 7229120,, 3498620,, 3730500,,18931380,, 9268555,, 9662830,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",, 2521955,, 1299795,, 1222160,, 6664380,, 3447125,, 3217250,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158, 4707170,, 2198830,, 2508335,,12267005,, 5821430,, 6445575,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",, 3713145,, 1728610,, 1984540,,10134590,, 4807045,, 5327545,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",, 3432015,, 1593170,, 1838850,, 8918160,, 4207495,, 4710665,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,  281130,,  135440,,  145690,, 1216425,,  599545,,  616875,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,  994025,,  470225,,  523800,, 2132415,, 1014385,, 1118030,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,  127005,,   65045,,   61960,,  254245,,  131955,,  122290,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,   97230,,   32925,,   64300,,  263095,,   96025,,  167065,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,  143205,,   70040,,   73175,,  239535,,  117445,,  122090,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,   62325,,   34315,,   28010,,  133655,,   73575,,   60085,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,   82020,,   37900,,   44125,,  175825,,   79635,,   96190,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,    8705,,    4630,,    4070,,   72920,,   40610,,   32310,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,  473530,,  225365,,  248160,,  993135,,  475145,,  517990,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163,11038440,, 5342755,, 5695680,,28643020,,13990430,,14652585,
"Labour force status","  In the labour force",, 7141675,, 3689625,, 3452055,,18672475,, 9731830,, 8940645,
"Labour force status","    Employed",, 6612150,, 3414255,, 3197895,,17230040,, 8923540,, 8306490,
"Labour force status","    Unemployed",,  529525,,  275370,,  254160,, 1442435,,  808285,,  634150,
"Labour force status","  Not in the labour force",, 3896765,, 1653130,, 2243630,, 9970545,, 4258605,, 5711945,
"Labour force status","Participation rate",, 64.7,, 69.1,, 60.6,, 65.2,, 69.6,, 61.0,
"Labour force status","Employment rate",, 59.9,, 63.9,, 56.1,, 60.2,, 63.8,, 56.7,
"Labour force status","Unemployment rate",,  7.4,,  7.5,,  7.4,,  7.7,,  8.3,,  7.1,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164,11038440,, 5342755,, 5695685,,28643020,,13990430,,14652580,
"Work activity during the reference year","  Did not work",165, 3696235,, 1561475,, 2134755,, 9282005,, 3930570,, 5351440,
"Work activity during the reference year","  Worked",, 7342205,, 3781280,, 3560925,,19361010,,10059865,, 9301150,
"Work activity during the reference year","    Worked full year; full time",166, 3837565,, 2148635,, 1688935,, 9626010,, 5402110,, 4223895,
"Work activity during the reference year","    Worked part year and/or part time",167, 3504645,, 1632645,, 1871995,, 9735005,, 4657755,, 5077245,
"Work activity during the reference year","Average weeks worked in reference year",, 42.9,, 43.4,, 42.3,, 42.4,, 42.9,, 42.0,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168, 7141675,, 3689625,, 3452055,,18672470,, 9731825,, 8940640,
"Class of worker","  Class of worker - not applicable",169,  171050,,   81735,,   89315,,  404350,,  197705,,  206640,
"Class of worker","  All classes of workers",170, 6970625,, 3607890,, 3362735,,18268125,, 9534120,, 8734000,
"Class of worker","    Employee",, 6146035,, 3084740,, 3061295,,16073685,, 8158745,, 7914940,
"Class of worker","    Self-employed",171,  824595,,  523145,,  301445,, 2194440,, 1375380,,  819060,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172, 7141675,, 3689625,, 3452050,,18672470,, 9731830,, 8940645,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,  171045,,   81735,,   89315,,  404350,,  197710,,  206640,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170, 6970625,, 3607890,, 3362735,,18268120,, 9534120,, 8734005,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,  790880,,  483240,,  307635,, 2013370,, 1251165,,  762205,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",, 1124770,,  357215,,  767555,, 2874305,,  862870,, 2011440,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,  516110,,  399195,,  116915,, 1273660,,  990560,,  283105,
"Occupation - National Occupational Classification (NOC) 2016","    3 Health occupations",,  447045,,   90495,,  356550,, 1245885,,  244730,, 1001155,
"Occupation - National Occupational Classification (NOC) 2016","    4 Occupations in education; law and social; community and government services",,  831340,,  265075,,  566265,, 2138445,,  672945,, 1465495,
"Occupation - National Occupational Classification (NOC) 2016","    5 Occupations in art; culture; recreation and sport",,  225720,,  104445,,  121275,,  557275,,  255705,,  301570,
"Occupation - National Occupational Classification (NOC) 2016","    6 Sales and service occupations",, 1632085,,  709375,,  922710,, 4265895,, 1843510,, 2422390,
"Occupation - National Occupational Classification (NOC) 2016","    7 Trades; transport and equipment operators and related occupations",,  927820,,  866870,,   60950,, 2668875,, 2504290,,  164585,
"Occupation - National Occupational Classification (NOC) 2016","    8 Natural resources; agriculture and related production occupations",,  113405,,   88150,,   25260,,  416135,,  331920,,   84215,
"Occupation - National Occupational Classification (NOC) 2016","    9 Occupations in manufacturing and utilities",,  361455,,  243835,,  117620,,  814285,,  576435,,  237845,
"Industry - North American Industry Classification System (NAICS) 2012","Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data",173, 7141675,, 3689625,, 3452050,,18672475,, 9731830,, 8940640,
"Industry - North American Industry Classification System (NAICS) 2012","  Industry - NAICS2012 - not applicable",169,  171050,,   81730,,   89315,,  404350,,  197710,,  206640,
"Industry - North American Industry Classification System (NAICS) 2012","  All industry categories",170, 6970625,, 3607890,, 3362735,,18268125,, 9534120,, 8734000,
"Industry - North American Industry Classification System (NAICS) 2012","    11 Agriculture; forestry; fishing and hunting",,  102070,,   67005,,   35070,,  444680,,  310000,,  134675,
"Industry - North American Industry Classification System (NAICS) 2012","    21 Mining; quarrying; and oil and gas extraction",,   32340,,   27920,,    4415,,  271300,,  219880,,   51420,
"Industry - North American Industry Classification System (NAICS) 2012","    22 Utilities",,   50820,,   38195,,   12630,,  136350,,  100135,,   36210,
"Industry - North American Industry Classification System (NAICS) 2012","    23 Construction",,  476835,,  419600,,   57230,, 1365010,, 1196550,,  168455,
"Industry - North American Industry Classification System (NAICS) 2012","    31-33 Manufacturing",,  683335,,  482800,,  200530,, 1596570,, 1149745,,  446820,
"Industry - North American Industry Classification System (NAICS) 2012","    41 Wholesale trade",,  270745,,  178945,,   91800,,  665685,,  451230,,  214455,
"Industry - North American Industry Classification System (NAICS) 2012","    44-45 Retail trade",,  783540,,  367175,,  416365,, 2110200,,  984090,, 1126115,
"Industry - North American Industry Classification System (NAICS) 2012","    48-49 Transportation and warehousing",,  329240,,  242045,,   87190,,  876050,,  656375,,  219670,
"Industry - North American Industry Classification System (NAICS) 2012","    51 Information and cultural industries",,  176715,,  101045,,   75670,,  420350,,  243650,,  176705,
"Industry - North American Industry Classification System (NAICS) 2012","    52 Finance and insurance",,  380765,,  169590,,  211180,,  790580,,  327865,,  462715,
"Industry - North American Industry Classification System (NAICS) 2012","    53 Real estate and rental and leasing",,  144275,,   77385,,   66890,,  333305,,  184350,,  148955,
"Industry - North American Industry Classification System (NAICS) 2012","    54 Professional; scientific and technical services",,  567825,,  316685,,  251140,, 1335125,,  740520,,  594605,
"Industry - North American Industry Classification System (NAICS) 2012","    55 Management of companies and enterprises",,   12365,,    5290,,    7075,,   28795,,   12795,,   16000,
"Industry - North American Industry Classification System (NAICS) 2012","    56 Administrative and support; waste management and remediation services",,  338640,,  190210,,  148430,,  802420,,  462825,,  339590,
"Industry - North American Industry Classification System (NAICS) 2012","    61 Educational services",,  528470,,  163680,,  364795,, 1346585,,  420845,,  925735,
"Industry - North American Industry Classification System (NAICS) 2012","    62 Health care and social assistance",,  754555,,  134270,,  620275,, 2138025,,  383755,, 1754270,
"Industry - North American Industry Classification System (NAICS) 2012","    71 Arts; entertainment and recreation",,  147425,,   75330,,   72095,,  379740,,  192875,,  186865,
"Industry - North American Industry Classification System (NAICS) 2012","    72 Accommodation and food services",,  478070,,  201260,,  276805,, 1283725,,  535210,,  748515,
"Industry - North American Industry Classification System (NAICS) 2012","    81 Other services (except public administration)",,  296960,,  133220,,  163745,,  814695,,  371880,,  442815,
"Industry - North American Industry Classification System (NAICS) 2012","    91 Public administration",,  415635,,  216250,,  199385,, 1128945,,  589530,,  539405,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",174, 6612150,, 3414255,, 3197900,,17230035,, 8923540,, 8306495,
"Place of work status","  Worked at home",,  480290,,  242495,,  237795,, 1272285,,  639500,,  632785,
"Place of work status","  Worked outside Canada",,   39145,,   25995,,   13150,,   78815,,   54235,,   24580,
"Place of work status","  No fixed workplace address",,  736715,,  536140,,  200570,, 1987260,, 1487445,,  499820,
"Place of work status","  Worked at usual place",, 5355995,, 2609620,, 2746375,,13891675,, 6742360,, 7149315,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",, 5356000,, 2609625,, 2746375,,13891680,, 6742365,, 7149315,
"Commuting destination","  Commute within census subdivision (CSD) of residence",, 3109070,, 1418260,, 1690810,, 8102115,, 3723115,, 4379005,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,  857565,,  419960,,  437605,, 2906390,, 1435640,, 1470750,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",, 1350375,,  749770,,  600605,, 2725205,, 1492170,, 1233030,
"Commuting destination","  Commute to a different province or territory",,   38990,,   21630,,   17355,,  157970,,   91445,,   66525,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",175, 6092710,, 3145765,, 2946945,,15878940,, 8229810,, 7649135,
"Main mode of commuting","  Car; truck; van - as a driver",, 4375215,, 2392270,, 1982945,,11748095,, 6380120,, 5367975,
"Main mode of commuting","  Car; truck; van - as a passenger",,  372480,,  151880,,  220600,,  868920,,  349855,,  519065,
"Main mode of commuting","  Public transit",,  888920,,  376690,,  512235,, 1968215,,  846735,, 1121485,
"Main mode of commuting","  Walked",,  320015,,  143885,,  176130,,  877985,,  392950,,  485030,
"Main mode of commuting","  Bicycle",,   75460,,   50200,,   25260,,  222130,,  146615,,   75515,
"Main mode of commuting","  Other method",,   60620,,   30835,,   29785,,  193595,,  113525,,   80060,
"Commuting duration","Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",176, 6092715,, 3145765,, 2946950,,15878945,, 8229810,, 7649130,
"Commuting duration","  Less than 15 minutes",, 1463845,,  675540,,  788310,, 4449920,, 2071365,, 2378555,
"Commuting duration","  15 to 29 minutes",, 1964690,,  991525,,  973165,, 5314295,, 2725165,, 2589130,
"Commuting duration","  30 to 44 minutes",, 1295375,,  706155,,  589225,, 3228845,, 1782680,, 1446165,
"Commuting duration","  45 to 59 minutes",,  612415,,  336090,,  276325,, 1391060,,  768115,,  622940,
"Commuting duration","  60 minutes and over",,  756385,,  436455,,  319930,, 1494830,,  882485,,  612345,
"Time leaving for work","Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",177, 6092715,, 3145765,, 2946950,,15878940,, 8229810,, 7649135,
"Time leaving for work","  Between 5 a.m. and 5:59 a.m.",,  413515,,  296265,,  117245,, 1073680,,  781230,,  292455,
"Time leaving for work","  Between 6 a.m. and 6:59 a.m.",, 1039255,,  640810,,  398445,, 2814750,, 1754045,, 1060710,
"Time leaving for work","  Between 7 a.m. and 7:59 a.m.",, 1571230,,  778100,,  793130,, 4458835,, 2217210,, 2241620,
"Time leaving for work","  Between 8 a.m. and 8:59 a.m.",, 1354870,,  577565,,  777310,, 3349975,, 1408710,, 1941265,
"Time leaving for work","  Between 9 a.m. and 11:59 a.m.",,  740330,,  328410,,  411920,, 1756265,,  752940,, 1003325,
"Time leaving for work","  Between 12 p.m. and 4:59 a.m.",,  973515,,  524620,,  448895,, 2425435,, 1315670,, 1109765,
"Language used most often at work","Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data",178, 7579085,, 3895880,, 3683200,,19956255,,10342970,, 9613285,
"Language used most often at work","  Single responses",, 7434675,, 3828665,, 3606015,,19365980,,10042855,, 9323130,
"Language used most often at work","    Official languages",, 7319360,, 3767405,, 3551955,,19090545,, 9897470,, 9193075,
"Language used most often at work","      English",, 7225210,, 3732550,, 3492655,,15265335,, 7952010,, 7313320,
"Language used most often at work","      French",,   94145,,   34850,,   59295,, 3825215,, 1945465,, 1879750,
"Language used most often at work","    Non-official languages",,  115320,,   61255,,   54060,,  275430,,  145380,,  130055,
"Language used most often at work","      Aboriginal languages",,    1485,,     765,,     715,,   24950,,   12385,,   12565,
"Language used most often at work","        Algonquian languages",,    1420,,     745,,     675,,   14440,,    7370,,    7070,
"Language used most often at work","          Blackfoot",,       0,,       0,,       0,,      80,,      45,,      35,
"Language used most often at work","          Cree-Montagnais languages",,     370,,     220,,     150,,   11540,,    5820,,    5720,
"Language used most often at work","            Atikamekw",,       0,,       0,,       0,,    1095,,     580,,     515,
"Language used most often at work","            Montagnais (Innu)",,       0,,       0,,       0,,    2055,,     970,,    1085,
"Language used most often at work","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Naskapi",,       0,,       0,,       0,,     370,,     180,,     190,
"Language used most often at work","            Northern East Cree",,       0,,       0,,       0,,      40,,      25,,      10,
"Language used most often at work","            Plains Cree",,       0,,       0,,       0,,      95,,      60,,      35,
"Language used most often at work","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Swampy Cree",,       0,,       0,,       0,,      15,,      10,,       0,
"Language used most often at work","            Woods Cree",,       0,,       0,,      10,,      75,,      35,,      40,
"Language used most often at work","            Cree; n.o.s.",,     360,,     215,,     145,,    7795,,    3965,,    3835,
"Language used most often at work","          Eastern Algonquian languages",,       0,,       0,,       0,,     925,,     510,,     420,
"Language used most often at work","            Malecite",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","            Mi'kmaq",,       0,,       0,,       0,,     915,,     505,,     410,
"Language used most often at work","          Ojibway-Potawatomi languages",,    1050,,     525,,     525,,    1895,,     995,,     900,
"Language used most often at work","            Algonquin",,       0,,       0,,       0,,      45,,      20,,      25,
"Language used most often at work","            Ojibway",,     495,,     235,,     265,,     765,,     380,,     385,
"Language used most often at work","            Oji-Cree",,     545,,     290,,     260,,    1080,,     595,,     485,
"Language used most often at work","            Ottawa (Odawa)",,      10,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Athabaskan languages",,       0,,       0,,       0,,    1140,,     530,,     610,
"Language used most often at work","          Northern Athabaskan languages",,       0,,       0,,       0,,    1135,,     525,,     610,
"Language used most often at work","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Carrier",,       0,,       0,,       0,,      20,,       0,,      15,
"Language used most often at work","            Chilcotin",,       0,,       0,,       0,,      20,,       0,,      10,
"Language used most often at work","            Dene",,       0,,       0,,       0,,     770,,     360,,     405,
"Language used most often at work","            Dogrib (Tlicho)",,       0,,       0,,       0,,     165,,      80,,      80,
"Language used most often at work","            Gwich'in",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Slavey-Hare languages",,       0,,       0,,       0,,     135,,      65,,      70,
"Language used most often at work","              North Slavey (Hare)",,       0,,       0,,       0,,      95,,      45,,      45,
"Language used most often at work","              South Slavey",,       0,,       0,,       0,,      35,,      20,,      20,
"Language used most often at work","              Slavey; n.o.s.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","            Tahltan languages",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","              Kaska (Nahani)",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
